##,Player,GP,GS,Min,MinAvg,FG,FGA,FGPct,3FG,3FGA,3Pct,FT,FTA,FTPct,Off,Def,Tot,FoulAvg,PF,FO,A,TO,Blk,Stl,Pts,PtsAvg
10,"BOLLINGER, Matt",1,0,2,2,0,1,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0
10,"DAVIS, Kenny",1,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0
30,"VILLEPIGUE, Dustin",1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
25,"BALL, Phillip",1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,"KEITA, Mathis",1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
15,"FLOYD, Colin",2,0,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
24,"GENTRY, Stephen",2,0,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,"MacLEOD, Calum",2,0,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,"BEACH, Jack",5,0,5,1.3,0,1,0,0,1,0,0,0,0,1,0,1,0.2,0,0,0,0,0,1,0,0
10,"ALBERTS, Bryan",5,0,32,6.4,0,3,0,0,3,0,0,0,0,0,3,3,0.6,4,0,1,0,0,0,0,0
55,"TRIANO, Dustin",4,0,6,1.5,0,0,0,0,0,0,0,0,0,0,1,1,0.3,0,0,0,0,0,1,0,0
